"Name","organ","mouse_index","fold change"
"Chd8","Crude testis","A221",0.334243924648569
"Chd8","Spermatogonia","A221",0.363394622207449
"Chd8","Meiosis II","A221",0.265604372270793
"Chd8","Round spermatid","A221",0.37419891545477
"Chd8","Sperm","A221",0.305179181967836
"Chd8","Pachytene/Diplotene","A221",0.280156050453981
"Dnmt1","LN","264",0.152405689708778
"Dnmt1","Epididymis","264",0.735569377434168
"Dnmt1","Heart","264",1.37898711515671
"Dnmt1","Kidney","264",0.917290145399946
"Dnmt1","Large intestine(crude)","264",0.196082078707202
"Dnmt1","Lung","264",0.658991809398094
"Dnmt1","Small intestine(basal layer)","264",0.227332442015927
"Dnmt1","Spleen","264",0.110366903846488
"Dnmt1","Tail epidermis","264",0.133930128465965
"Dnmt1","Crude testis","264",0.0433180259257106
"Dnmt1","Spermatogonia","264",0.0273440678951346
"Dnmt1","Meiosis II","264",0.00823112247863745
"Dnmt1","Round spermatid","264",0.0152764052781492
"Dnmt1","Sperm","264",0.0973086089635529
"Dnmt1","Pachytene/Diplotene","264",0.0129744811951404
"Dnmt1","Crude tail","264",0.351359564707755
"Dnmt1","Cerebellum","264",1.45565308376446
"Dnmt1","LN","385",0.0698250305179329
"Dnmt1","Cerebrum","385",1.30923676103005
"Dnmt1","Epididymis","385",0.143765622275185
"Dnmt1","Dorsal skin dermis","385",0.280276695925129
"Dnmt1","Ear lobe","385",0.266744172528047
"Dnmt1","Eyeball","385",0.676347148753124
"Dnmt1","Heart","385",0.923559844213219
"Dnmt1","Kidney","385",0.391745625762948
"Dnmt1","Large intestine(basal layer)","385",0.288717084229495
"Dnmt1","Large intestine(epithelium)","385",0.0238939214914008
"Dnmt1","Liver","385",0.358677666553225
"Dnmt1","Lung","385",0.76473598300342
"Dnmt1","Oral mucosa","385",0.197128407835843
"Dnmt1","Dorsal epidermis","385",0.0882404231820031
"Dnmt1","Small intestine(basal layer)","385",0.139022263558682
"Dnmt1","Small intestine(epithelium)","385",0.0258094518397954
"Dnmt1","Spleen","385",0.102958786258211
"Dnmt1","B cell","385",0.0795210137766669
"Dnmt1","CD4 effector/memory","385",0.10191245712957
"Dnmt1","CD4 naive","385",0.0786141951985119
"Dnmt1","CD8 central memory","385",0.171912250388224
"Dnmt1","CD8 effector/memory","385",0.0948551357472577
"Dnmt1","CD8 naive","385",0.0827995117130733
"Dnmt1","Treg","385",0.0684396984291081
"Dnmt1","Crude tail","385",0.183805150264489
"Dnmt1","Tail epidermis","385",0.0492472243213393
"Dnmt1","Crude testis","385",0.0100447596349474
"Dnmt1","Spermatogonia","385",0.0445038656048364
"Dnmt1","Meiosis II","385",0.00418531651456141
"Dnmt1","Round spermatid","385",0.00202290298203802
"Dnmt1","Sperm","385",0.00634773004708481
"Dnmt1","Pachytene/Diplotene","385",0.00230192408300878
"Dnmt1","Thyroid","385",0.755957033712398
"Dnmt1","Tongue","385",0.277974771842121
"Dnmt1","mFat","385",0.186246584897983
"Dnmt1","pFat","385",0.460478494503779
"Dnmt1","Cerebellum","385",1.271568912399
