"Name","serial_number","order","gene","median_FC","median_reads","organ","sample","mouse_index"
"Polr2a-2","b",11,"Polr2a",0.200009195825095,725,"Cerebrum","A123-Cerebrum","A123"
"Pten-2","b",12,"Pten",2.31888026776206,7621,"Cerebrum","A123-Cerebrum","A123"
"Cd45-2","b",13,"Cd45",0.865994737103421,2907,"Cerebrum","A123-Cerebrum","A123"
"Trp53-3","c",14,"Trp53",1.41060581185355,2864,"Cerebrum","A123-Cerebrum","A123"
"Cd19-3","c",15,"Cd19",0.965847813061714,2418,"Cerebrum","A123-Cerebrum","A123"
"Kpnb1-3","c",16,"Kpnb1",0.26501779933268,7122,"Cerebrum","A123-Cerebrum","A123"
"Polr2a-3","c",17,"Polr2a",0.68199622805745,1567,"Cerebrum","A123-Cerebrum","A123"
"Pten-3","c",18,"Pten",2.91054091539528,5596,"Cerebrum","A123-Cerebrum","A123"
"Cd45-3","c",19,"Cd45",0.903965161586065,1972,"Cerebrum","A123-Cerebrum","A123"
"Trp53-4","d",20,"Trp53",1.40884615384615,2442,"Cerebrum","A123-Cerebrum","A123"
"Cd19-4","d",21,"Cd19",1.19751200349192,1829,"Cerebrum","A123-Cerebrum","A123"
"Kpnb1-4","d",22,"Kpnb1",0.154401291425316,271,"Cerebrum","A123-Cerebrum","A123"
"Polr2a-4","d",23,"Polr2a",0.225481978206203,269,"Cerebrum","A123-Cerebrum","A123"
"Pten-4","d",24,"Pten",2.05091258405379,2135,"Cerebrum","A123-Cerebrum","A123"
"Cd45-4","d",25,"Cd45",1.20275590551181,1222,"Cerebrum","A123-Cerebrum","A123"
"Trp53-5","e",26,"Trp53",1.06949646275489,1285,"Cerebrum","A123-Cerebrum","A123"
"Cd19-5","e",27,"Cd19",1.04060017652251,1179,"Cerebrum","A123-Cerebrum","A123"
"Kpnb1-5","e",28,"Kpnb1",0.369455557488259,354,"Cerebrum","A123-Cerebrum","A123"
"Polr2a-5","e",29,"Polr2a",0.194743130227001,163,"Cerebrum","A123-Cerebrum","A123"
"Pten-5","e",30,"Pten",1.68849774866967,1375,"Cerebrum","A123-Cerebrum","A123"
"Cd45-5","e",31,"Cd45",0.897834171953621,684,"Cerebrum","A123-Cerebrum","A123"
"Trp53-6","f",32,"Trp53",1.55007256894049,890,"Cerebrum","A123-Cerebrum","A123"
"Cd19-6","f",33,"Cd19",0.586731167933656,566,"Cerebrum","A123-Cerebrum","A123"
"Kpnb1-6","f",34,"Kpnb1",0.636429085673146,442,"Cerebrum","A123-Cerebrum","A123"
"Polr2a-6","f",35,"Polr2a",0.735632183908046,416,"Cerebrum","A123-Cerebrum","A123"
"Pten-6","f",36,"Pten",2.15860993539764,1615,"Cerebrum","A123-Cerebrum","A123"
"Cd45-6","f",37,"Cd45",0.914805194805195,587,"Cerebrum","A123-Cerebrum","A123"
"Trp53-7","g",38,"Trp53",1.11588170865279,849,"Cerebrum","A123-Cerebrum","A123"
"Cd19-7","g",39,"Cd19",1.23822488429077,758,"Cerebrum","A123-Cerebrum","A123"
"Kpnb1-7","g",40,"Kpnb1",0.473413379073756,322,"Cerebrum","A123-Cerebrum","A123"
"Polr2a-7","g",41,"Polr2a",1.32558139534884,988,"Cerebrum","A123-Cerebrum","A123"
"Pten-7","g",42,"Pten",2.59770114942529,1695,"Cerebrum","A123-Cerebrum","A123"
"Cd45-7","g",43,"Cd45",1.25826446280992,609,"Cerebrum","A123-Cerebrum","A123"
"Trp53-8","h",44,"Trp53",1.62593703148426,723,"Cerebrum","A123-Cerebrum","A123"
"Cd19-8","h",45,"Cd19",1.03216542217117,599,"Cerebrum","A123-Cerebrum","A123"
"Kpnb1-8","h",46,"Kpnb1",0.527283170591614,306,"Cerebrum","A123-Cerebrum","A123"
"Polr2a-8","h",47,"Polr2a",0.817614424410541,393,"Cerebrum","A123-Cerebrum","A123"
"Pten-8","h",48,"Pten",1.43151693667158,648,"Cerebrum","A123-Cerebrum","A123"
